id,name,author,serial_number
1,The Hunger Games,Suzanne Collins,439023483
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",439554934
3,Twilight,Stephenie Meyer,316015849
4,To Kill a Mockingbird,Harper Lee,61120081
5,The Great Gatsby,F. Scott Fitzgerald,743273567
6,The Fault in Our Stars,John Green,525478817
7,The Hobbit or There and Back Again,J.R.R. Tolkien,618260307
8,The Catcher in the Rye,J.D. Salinger,316769177
9,Angels & Demons ,Dan Brown,1416524797
10,Pride and Prejudice,Jane Austen,679783261
11,The Kite Runner ,Khaled Hosseini,1594480001
12,Divergent,Veronica Roth,62024035
13,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",451524934
14,Animal Farm: A Fairy Story,George Orwell,452284244
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",553296981
16,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",307269752
17,Catching Fire,Suzanne Collins,439023491
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",043965548X
19, The Fellowship of the Ring,J.R.R. Tolkien,618346252
20,Mockingjay,Suzanne Collins,439023513
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",439358078
22,The Lovely Bones,Alice Sebold,316166685
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",439064864
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",439139600
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",545010225
26,The Da Vinci Code,Dan Brown,307277674
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",439785960
28,Lord of the Flies ,William Golding,140283331
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",743477111
30,Gone Girl,Gillian Flynn,297859382
31,The Help,Kathryn Stockett,399155341
32,Of Mice and Men ,John Steinbeck,142000671
33,Memoirs of a Geisha,Arthur Golden,739326228
34,Fifty Shades of Grey,E.L. James,1612130291
35,O Alquimista,"Paulo Coelho, Alan R. Clarke",61122416
36,The Giver,Lois Lowry,385732554
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,60764899
38,The Time Traveler's Wife,Audrey Niffenegger,965818675
39,A Game of Thrones,George R.R. Martin,553588486
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,143038419
41,The Lightning Thief,Rick Riordan,786838655
42,Little Women,Louisa May Alcott,451529308
43,Jane Eyre,"Charlotte Brontë, Michael Mason",142437204
44,The Notebook,Nicholas Sparks,553816713
45,Life of Pi,Yann Martel,770430074
46,Water for Elephants,Sara Gruen,1565125606
47,The Book Thief,Markus Zusak,375831002
48,Fahrenheit 451,Ray Bradbury,307347974
49,"New Moon (Twilight, #2)",Stephenie Meyer,316160199
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,60513039
51,City of Bones,Cassandra Clare,1416914285
52,Eclipse,Stephenie Meyer,316160202
53,Eragon,Christopher Paolini,375826696
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,345391802
55,Brave New World,Aldous Huxley,60929871
56,Breaking Dawn,Stephenie Meyer,031606792X
57,The Secret Life of Bees,Sue Monk Kidd,142001740
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",142437174
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",64410935
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717
61,The Girl on the Train,Paula Hawkins,1594633665
62,Northern Lights,Philip Pullman,679879242
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",393978893
64,My Sister's Keeper,Jodi Picoult,743454537
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,385333846
66,Gone with the Wind,Margaret Mitchell,446675539
67,A Thousand Splendid Suns,Khaled Hosseini,1594489505
68,The Perks of Being a Wallflower,Stephen Chbosky,671027344
69,Insurgent,Veronica Roth,7442912
70,Ender's Game,Orson Scott Card,812550706
71,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",141439475
72,The Shining,Stephen King,450040186
73,The Host,Stephenie Meyer,316068047
74,Looking for Alaska,John Green,142402516
75,,Helen Fielding,014028009X
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",141439661
77,Holes,"Louis Sachar, Louis Sachar",439244196
78,The Devil Wears Prada,Lauren Weisberger,307275558
79,Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",143039954
80,Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",156012197
81,The Glass Castle,Jeannette Walls,074324754X
82,Into the Wild,Jon Krakauer,385486804
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",141439602
84,Jurassic Park,Michael Crichton,030734813X
85,The Giving Tree,Shel Silverstein,60256656
86,A Time to Kill,John Grisham,385338600
87,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",374500010
88,Paper Towns,John Green,014241493X
89,The Princess Bride,William Goldman,345418263
90,The Outsiders,S.E. Hinton,014038572X
91,The Maze Runner,James Dashner,385737947
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",61234001
93,The Secret Garden,Frances Hodgson Burnett,517189607
94,Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",60531045
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",375751513
96,Fifty Shades Freed,E.L. James,345803507
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",393970124
98,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",307269981
99,Fifty Shades Darker,E.L. James,1612130585
100,The Poisonwood Bible,Barbara Kingsolver,60786507
101,Me Talk Pretty One Day,David Sedaris,349113912
102,Where the Wild Things Are,Maurice Sendak,99408392
103,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",140449264
104,The Road,Cormac McCarthy,307265439
105,Allegiant,Veronica Roth,7524277
106,Bossypants,Tina Fey,
107,A Walk to Remember,Nicholas Sparks,446693804
108,Confessions of a Shopaholic,Sophie Kinsella,440241413
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",451525264
110,A Clash of Kings,George R.R. Martin,553381695
111,The Memory Keeper's Daughter,Kim Edwards,143037145
112,Me Before You,Jojo Moyes,670026603
113,Catch-22,Joseph Heller,684833395
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",751529818
115,Middlesex,Jeffrey Eugenides,312422156
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",143039563
117,A Wrinkle in Time,Madeleine L'Engle,440498058
118,The Joy Luck Club,Amy Tan,143038095
119,The Handmaid's Tale,Margaret Atwood,038549081X
120,The Sisterhood of the Traveling Pants,Ann Brashares,385729332
121,Lolita,"Vladimir Nabokov, Craig Raine",
122,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",60987103
123,The Firm,John Grisham,582418275
124,Room,Emma Donoghue,316098337
125,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",521618746
126,Dune,Frank Herbert,340839937
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,316346624
128,Steve Jobs,Walter Isaacson,1451648537
129,One Flew Over the Cuckoo's Nest,Ken Kesey,451163966
130,The Old Man and the Sea,Ernest Hemingway,684830493
131,The Grapes of Wrath,John Steinbeck,142000663
132,The Five People You Meet in Heaven,Mitch Albom,1401308589
133,Anne of Green Gables,L.M. Montgomery,451528824
134,City of Glass,Cassandra Clare,1416914307
135,A Storm of Swords,George R.R. Martin,055357342X
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,006075995X
137,Outlander,Diana Gabaldon,440242940
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",142437263
139,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,1594744769
140,Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",030726999X
141,The Martian,Andy Weir,804139024
142,The Pillars of the Earth,Ken Follett,451207149
143,,Anthony Doerr,1476746583
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,1400064163
145,Deception Point,Dan Brown,671027387
146,The Goldfinch,Donna Tartt,316055433
147,Thirteen Reasons Why,Jay Asher,1595141715
148,Girl with a Pearl Earring,Tracy Chevalier,452287022
149,If I Stay,Gayle Forman,525421033
150,The Red Tent,Anita Diamant,312353766
151,The Sea of Monsters,Rick Riordan,786856866
152,Dear John,Nicholas Sparks,446528056
153,City of Ashes,Cassandra Clare,1416914293
154,The Tragedy of Macbeth,William Shakespeare,743477103
155,The Two Towers,J.R.R. Tolkien,618346260
156,Something Borrowed,Emily Giffin,031232118X
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",394800168
158,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",142403881
159,The Battle of the Labyrinth,Rick Riordan,1423101464
160,Great Expectations,Charles Dickens,192833596
161,The Return of the King,J.R.R. Tolkien,345339738
162,L’Étranger,"Albert Camus, Matthew    Ward",
163,The Lost Hero,Rick Riordan,142311339X
164,Eleanor & Park,Rainbow Rowell,1250012570
165,A Feast for Crows,George R.R. Martin,055358202X
166,Matched,Ally Condie,525423648
167,American Gods,Neil Gaiman,747263744
168,The Stand,"Stephen King, Bernie Wrightson",385199570
169,The Last Song,Nicholas Sparks,446547565
170,Digital Fortress,Dan Brown,552151696
171,Emma,"Jane Austen, Fiona Stafford",141439580
172,Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",345803922
173,A Clockwork Orange,Anthony Burgess,393312836
174,The Shack: Where Tragedy Confronts Eternity,William Paul Young,964729237
175,The Last Olympian,Rick Riordan,739380338
176,It,Stephen King,451169514
177,Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",143058142
178,The Bell Jar,Sylvia Plath,61148512
179,Angela's Ashes: A Memoir,Frank McCourt,7205236
180,Siddhartha,"Hermann Hesse, Hilda Rosner",553208845
181,In Cold Blood,Truman Capote,679745580
182,Beautiful Creatures,"Kami Garcia, Margaret Stohl",316042676
183,Clockwork Angel,Cassandra Clare,1416975861
184,Matilda,"Roald Dahl, Quentin Blake",141301066
185,The Night Circus,Erin Morgenstern,385534639
186,The Other Boleyn Girl,Philippa Gregory,743227441
187,Uglies,Scott Westerfeld,689865384
188,A Dance with Dragons,George R.R. Martin,
189,The Lord of the Rings,J.R.R. Tolkien,618640150
190,Wild: From Lost to Found on the Pacific Crest Trail ,Cheryl Strayed,307592731
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",930289234
192,The Name of the Wind,Patrick Rothfuss,075640407X
193,Outliers: The Story of Success,Malcolm Gladwell,316017922
194,"Moby Dick; or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",142437247
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",385340990
196,Fight Club,Chuck Palahniuk,393327345
197,Dead Until Dark,Charlaine Harris,441008534
198,The Color Purple,Alice Walker,671727796
199,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,739461192
200,Ten Little Niggers,Agatha Christie,312330871
201,The Lost Symbol,Dan Brown,385504225
202,"Hush, Hush",Becca Fitzpatrick,1416989412
203,Beautiful Disaster,Jamie McGuire,
204,A Christmas Carol,Charles Dickens,1561797464
205,Interview with the Vampire,Anne Rice,345476875
206,The Selection,Kiera Cass,62059939
207,One for the Money,Janet Evanovich,312362080
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,1400052173
209,The Silence of the Lambs,Thomas Harris,99446782
210,,Richelle Mead,159514174X
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,316010669
212,Atonement,Ian McEwan,038572179X
213,Die Verwandlung,"Franz Kafka, Stanley Corngold",553213695
214,The Titan's Curse,Rick Riordan,141382899
215,,Ernest Cline,030788743X
216,The Art of Racing in the Rain,Garth Stein,1554681723
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson, Tony Goldwyn",739303406
218,Bared to You,Sylvia Day,425263908
219,The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes",66238501
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,316043133
221,"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,1558743669
222,The Bourne Identity,Robert Ludlum,752864327
223,Artemis Fowl,Eoin Colfer,786817879
224,Fallen,Lauren Kate,385738935
225,East of Eden  ,John Steinbeck,142000655
226,Dark Places,Gillian Flynn,307341569
227,The Client,John Grisham,385339089
228,The Nanny Diaries,"Emma McLaughlin, Nicola Kraus",312291639
229,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel, Martin Gardner",451527747
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",192802631
231,Elle s'appelait Sarah,Tatiana de Rosnay,312370830
232,The Gunslinger,Stephen King,452284694
233,El amor en los tiempos del cólera,"Gabriel García Márquez, Edith Grossman",140003468X
234,Speak,Laurie Halse Anderson,014131088X
235,The Husband's Secret ,Liane Moriarty,399159347
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,385494785
237,Carrie,Stephen King,1416524304
238,Running with Scissors,Augusten Burroughs,031242227X
239,World War Z: An Oral History of the Zombie War,Max Brooks,307346609
240,Inferno,Dan Brown,385537859
241,Number the Stars,Lois Lowry,440227534
242,Along Came a Spider,James Patterson,446692638
243,Misery,Stephen King,450417395
244,Sharp Objects,Gillian Flynn,307341542
245,Bridge to Terabithia,Katherine Paterson,439366771
246,Marked,"P.C. Cast, Kristin Cast",312360266
247,The 7 Habits of Highly Effective People,Stephen R. Covey,743269519
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",743477545
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,618711651
250,Wonder,R.J. Palacio,375869026
251,The Cat in the Hat,Dr. Seuss,039480001X
252,Cinder,Marissa Meyer,312641893
253,The Cuckoo's Calling,"Robert Galbraith, J.K. Rowling",316206849
254,Shiver,Maggie Stiefvater,545123267
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",452011876
256,Three Cups of Tea ,"Greg Mortenson, David Oliver Relin",143038257
257,,"Jane Carruth, Lewis Carroll, Rene Cloke",517223627
258,La sombra del viento,"Carlos Ruiz Zafón, Lucia Graves",143034901
259,The Scorch Trials,James Dashner,385738757
260,How to Win Friends and Influence People,Dale Carnegie,
261,Under the Tuscan Sun,Frances Mayes,767900383
262,Big Little Lies,Liane Moriarty,399167064
263,Ella Enchanted,Gail Carson Levine,590920685
264,The Sun Also Rises,Ernest Hemingway,743297334
265,A Tree Grows In Brooklyn ,Betty  Smith,61120073
266,Kiss the Girls,James Patterson,446677388
267,The Nightingale,Kristin Hannah,312577222
268,Never Let Me Go,Kazuo Ishiguro,1400078776
269,"PS, I Love You",Cecelia Ahern,786890754
270,Rebecca,"Daphne du Maurier, Sally Beauman",1844080382
271,Flowers for Algernon,Daniel Keyes,156030306
272,Como agua para chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",552995878
273,Snow Flower and the Secret Fan,Lisa See,812968069
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",451205766
275,An Abundance of Katherines,John Green,525476881
276,Foundation,Isaac Asimov,553803719
277,The Ocean at the End of the Lane,Neil Gaiman,62255657
278,A Light in the Attic,Shel Silverstein,60513063
279,"Harry Potter and the Cursed Child, Parts One and Two","John Tiffany, Jack Thorne, J.K. Rowling",751565350
280,Delirium,Lauren Oliver,61726834
281,The Pelican Brief,John Grisham,385339704
282,Coraline,Neil Gaiman,61139378
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",60853980
284,On the Road,Jack Kerouac,140042598
285,The Rosie Project,Graeme Simsion,1476729085
286,The Lucky One,Nicholas Sparks,446579939
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",451191153
288,The Hunt for Red October,Tom Clancy,425172902
289,Watership Down,Richard Adams,038039586X
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,307886263
291,Cutting for Stone,Abraham Verghese,375414495
292,The Voyage of the Dawn Treader,"C.S. Lewis, Pauline Baynes",006112527X
293,Treasure Island,Robert Louis Stevenson,753453800
294,The Son of Neptune ,Rick Riordan,1423140591
295,11/22/63,Stephen King,1451627289
296,The Very Hungry Caterpillar,Eric Carle,241003008
297,Cat's Cradle,Kurt Vonnegut Jr.,140285601
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",451528557
299,,"Todd Burpo, Lynn Vincent",849946158
300,The Boy in the Striped Pyjamas,John Boyne,385751060
301,Heart of Darkness,Joseph Conrad,1892295490
302,Safe Haven,Nicholas Sparks,044654759X
303,The Secret,Rhonda Byrne,1582701709
304,I Know This Much Is True ,Wally Lamb,60987561
305,Pet Sematary,Stephen King,1416524347
306,She's Come Undone,Wally Lamb,671021001
307,The Wise Man's Fear,Patrick Rothfuss,756404738
308,Can You Keep a Secret?,Sophie Kinsella,440241901
309,City of Fallen Angels,Cassandra Clare,1442403543
310,Good in Bed,Jennifer Weiner,743418174
311,The Thorn Birds,Colleen McCullough,380018179
312,The Graveyard Book,"Neil Gaiman, Dave McKean",60530928
313,The Light Between Oceans,M.L. Stedman,1451681739
314,Tintenherz,"Cornelia Funke, Anthea Bell",439709105
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",91883768
316,A Walk in the Woods,Bill Bryson,307279464
317,I Know Why the Caged Bird Sings,Maya Angelou,553279378
318,Orphan Train,Christina Baker Kline,61950726
319,City of Lost Souls,Cassandra Clare,1442416866
320,"Where'd You Go, Bernadette",Maria Semple,316204277
321,Where the Red Fern Grows,Wilson Rawls,375806814
322,Neverwhere,Neil Gaiman,60557818
323,Nesnesitelná lehkost bytí,"Milan Kundera, Michael Henry Heim",571224385
324,,Rainbow Rowell,
325,A Prayer for Owen Meany,John Irving,552135399
326,White Oleander,Janet Fitch,316182540
327,Legend,Marie Lu,039925675X
328,Nineteen Minutes,Jodi Picoult,743496728
329,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",1401323251
330,The Eye of the World,Robert Jordan,812511816
331,The Pact,Jodi Picoult,61150142
332,The magician's nephew,C.S. Lewis,60764902
333,Still Alice,Lisa Genova,595440096
334,Reflected in You,Sylvia Day,425263916
335,James and the Giant Peach,"Roald Dahl, Quentin Blake",375814248
336,1st To Die,James Patterson,446696617
